clip_id,class,x,y,w,h,query
e000008,car,307,136,102,132,Xe con màu đen đi từ xa về gần camera
e000046,car,12,149,255,270,Xe 16 chỗ màu trắng đi thẳng ra xa.
e000073,motorcyclist,448,598,322,332,Người mặc áo xanh đội nón đỏ chạy xe số màu trắng đi thẳng ra xa camera rồi rẽ phải.
video4_e000099,car,588,102,108,44,Xe ô tô màu xám đi từ trái sang phải qua ngã tư.
19_video3_norm_e002,car,705,150,160,57,xe con màu đen đi từ phải sang trái qua ngã tư.
19_video3_norm_e005,car,377,406,509,212,xe con màu bạc đi thẳng ra xa camera rồi rẽ phải.
e000134,motorcyclist,319,310,64,205,Người mặc áo đen đội nón trắng chạy xe số màu đen chở hàng đi thẳng ra xa.
e000062,motorcyclist,190,246,46,212,Người mặc áo xám đội nón bảo hiểm trắng chạy xe số màu xanh đi từ xa về gần camera
e000181,truck,227,9,290,340,Xe tải đầu màu trắng thùng vàng đi thẳng lại gần camera.
e000011,motorcyclist,127,276,90,190,Người mặc áo xanh lá đội nón xanh lá chạy xe số màu đen chở theo 1 người đi thẳng ra xa camera.
e000118,motorcyclist,398,358,71,306,Người mặc áo đen đội nón đen chạy xe số màu đen đi thẳng lại gần camera.
e000021,motorcyclist,194,284,75,181,Người mặc áo trắng đội nón đen chạy xe số màu đỏ đi thẳng ra xa camera.
19_video2_norm_e008,car,624,154,146,53,xe con màu trắng đi từ trái sang phải qua ngã tư.
e000125,motorcyclist,274,294,65,185,Người mặc áo kẻ ca rô đội nón đen chạy xe tay ga màu đen đi thẳng ra xa.
e000075,truck,281,41,174,269,Xe tải đầu màu trắng thùng bạt đen đi từ xa về gần camera
e000012,motorcyclist,347,252,72,224,Người mặc áo đen đội nón đen chạy xe tay ga màu đen đi thẳng lại gần camera.
19_video14_norm_e001,truck,850,76,300,92,xe tải đầu màu trắng thùng bạt đen đi từ phải sang trái qua ngã tư.
e000038,motorcyclist,218,249,59,165,Người mặc áo trắng đội nón trắng chạy xe số màu đen đeo túi đi thẳng ra xa.
e000001,car,788,118,216,90,Xe khách màu xanh trắng đi từ phải sang trái qua ngã tư.
19_video14_norm_e001,truck,858,78,329,96,xe tải đầu màu vàng thùng bạt đen đi từ phải sang trái qua ngã tư.
19_video8_norm_e008,motorcyclist,490,408,201,260,Người mặc áo đen đội nón bảo hiểm xanh lá chạy tay ga màu trắng Đi thẳng ra xa camera rồi dừng chờ đèn đỏ.
e000069,motorcyclist,346,321,82,308,Người mặc áo xanh da trời đội nón đen chạy xe số màu đỏ đi thẳng về hướng camera.
e000005,truck,80,42,1088,944,Xe tải đầu màu trắng thùng xe phủ bạt đen Đi thẳng ra xa camera rồi rẽ phải.
e000079,motorcyclist,312,245,43,214,Người mặc áo hồng đội nón bảo hiểm xám chạy xe số màu đen đi từ xa về gần camera
e000231,truck,245,14,300,526,Xe tải đầu màu trắng thùng phủ bạt đen đi thẳng lại gần camera.
video6_e000144,truck,632,61,198,84,Xe tải đầu màu trắng thùng bạc Đi từ trái sang phải qua ngã tư.
e000053,motorcyclist,269,374,61,205,Người mặc áo đen đội nón đen chạy xe tay ga màu đỏ đi thẳng ra xa.
e000159,motorcyclist,406,245,75,294,Người mặc áo xanh dương đội nón đen chạy xe số màu đỏ đen đi thẳng lại gần camera.
e000024,motorcyclist,176,268,37,210,Người mặc áo đỏ đội nón bảo hiểm đen chạy xe số màu đen đi từ xa về gần camera
e000002,car,106,480,644,378,Xe con màu trắng đi thẳng ra xa camera rồi rẽ phải.
e000074,car,80,189,162,172,Xe con màu bạc đi thẳng ra xa.
video11_e000032,truck,94,18,712,625,Container đầu màu bạc thùng bạc Đi thẳng ra xa camera rồi rẽ phải.
e000095,car,404,201,177,206,Xe con màu đen đi thẳng lại gần camera.
19_video6_norm_e013,motorcyclist,609,300,118,190,Người mặc áo trắng đội nón bảo hiểm vàng chạy xe số màu đen Đi thẳng ra xa camera rồi dừng chờ đèn đỏ.
e000024,car,390,189,145,202,Xe con màu đỏ đi thẳng lại gần camera.
video1_e000015,motorcyclist,496,376,137,214,Người mặc áo đen đội nón đen chạy xe máy màu đỏ đi thẳng ra xa camera rồi rẽ phải.
19_video10_norm_e013,car,510,389,558,222,xe con màu đen đi thẳng ra xa camera rồi rẽ phải.
e000015,truck,142,272,990,654,Xe tải đầu màu xanh thùng xe phủ bạt đen Đi thẳng ra xa camera rồi rẽ phải.
e000095,car,1082,144,144,98,Xe con màu trắng đi từ trái sang phải qua ngã tư.
e000055,car,140,176,145,153,Xe con màu trắng đi thẳng ra xa camera.
e000107,motorcyclist,1200,390,138,276,Người mặc áo đen đội nón xanh chạy xe đạp điện màu đen đi thẳng ra xa camera rồi rẽ phải.
e000011,truck,754,124,212,94,Xe tải đầu màu trắng thùng xe màu bạc đi từ trái sang phải qua ngã tư.
e000008,truck,1482,124,210,184,Xe tải đầu màu trắng thùng xe màu bạc đi thẳng ra xa camera rồi rẽ phải.
e000003,car,445,206,164,205,Xe con màu trắng đi thẳng lại gần camera.
e000051,motorcyclist,210,256,54,248,Người mặc áo đen đội nón bảo hiểm đen chạy xe số màu đen đi từ xa về gần camera
e000137,motorcyclist,259,214,44,244,Người mặc áo trắng đội nón bảo hiểm đen chạy xe tay ga màu đen đi từ xa về gần camera chở hàng
e000107,motorcyclist,506,248,130,158,Người mặc áo trắng đội nón đen chạy xe số màu đen đi thẳng ra xa camera rồi dừng chờ đèn đỏ.
19_video10_norm_e006,car,854,132,161,72,xe con màu đen đi từ trái sang phải qua ngã tư.
e000002,truck,626,110,388,102,Xe tải đầu màu trắng thùng xe phủ bạt đen đi từ phải sang trái qua ngã tư.
e000093,motorcyclist,269,353,68,213,Người mặc áo trắng đội nón xanh ngọc chạy xe đạp màu đen đeo balo đi thẳng ra xa camera.
19_video10_norm_e004,motorcyclist,502,410,204,228,Người mặc áo hồng đội nón bảo hiểm đỏ chạy tay ga màu đen chở 1 người Đi thẳng ra xa camera qua ngã tư.
video1_e000002,motorcyclist,532,333,144,237,Người mặc áo xanh lá đội nón xanh lá chạy xe máy màu đen đi thẳng ra xa camera rồi rẽ phải.
e000118,car,414,212,178,220,Xe con màu xám đi thẳng lại gần camera.
19_video12_norm_e004,car,938,126,114,52,xe con màu trắng đi từ phải sang trái qua ngã tư.
e000058,motorcyclist,186,254,71,172,Người mặc áo trắng đội nón hồng chạy xe số màu đen đi thẳng ra xa camera.
e000023,motorcyclist,255,314,82,198,Người mặc áo đen đội nón trắng chạy xe số màu xanh lơ chở theo 1 người đi thẳng ra xa camera.
e000109,motorcyclist,427,298,55,300,Người mặc áo đen đội nón trắng chạy xe số màu xanh đi thẳng lại gần camera.
e000025,motorcyclist,235,236,47,188,Người mặc áo đen đội nón bảo hiểm đen chạy xe tay ga màu đen đi từ xa về gần camera
e000017,motorcyclist,351,165,33,121,Người mặc áo nâu đội nón bảo hiểm đen chạy xe tay ga màu đen đi từ xa về gần camera
e000139,motorcyclist,203,254,52,193,Người mặc áo trắng đội nón bảo hiểm đen chạy xe số màu trắng đi từ xa về gần camera
19_video4_norm_e013,motorcyclist,372,390,164,189,Người mặc áo đen đội nón bảo hiểm đỏ chạy xe số màu đỏ Đi thẳng ra xa camera qua ngã tư.
e000066,motorcyclist,208,205,55,178,Người mặc áo cam đội nón bảo hiểm cam chạy xe tay ga màu đen đi từ xa về gần camera chở hàng cồng kềnh
e000005,truck,930,76,458,128,Container đầu màu trắng thùng xe màu xám đi từ phải sang trái qua ngã tư.
e000044,car,253,125,111,129,Xe con màu trắng đi thẳng ra xa camera.
e000222,motorcyclist,329,330,78,345,Người mặc áo trắng đội nón đỏ chạy xe tay ga màu đỏ đen đi thẳng lại gần camera.
e000199,motorcyclist,251,330,76,318,Người mặc áo xanh dương đội nón xám chạy xe số màu trắng đi thẳng lại gần camera.
video4_e000108,car,265,245,421,280,Xe ô tô màu đen đi thẳng ra xa camera rồi rẽ phải.
e000007,car,414,170,171,197,Xe con màu trắng đi thẳng lại gần camera.
video10_e000027,motorcyclist,376,234,89,121,Người mặc áo hồng đội nón đen chạy xe máy màu đen đi thẳng ra xa camera rồi dừng chờ đèn đỏ.
e000134,motorcyclist,265,245,58,184,Người mặc áo đen đội nón đỏ chạy xe số màu đỏ đi thẳng ra xa.
e000007,truck,252,96,554,316,Xe tải đầu màu trắng thùng xe màu bạc Đi thẳng ra xa camera qua ngã tư.
e000009,car,1146,154,110,50,Xe 16 chỗ màu trắng đi từ phải sang trái qua ngã tư.
e000107,truck,1014,136,138,74,Xe tải đầu màu đen thùng xe màu trắng Đi từ phải sang trái qua ngã tư.
e000002,motorcyclist,740,576,220,358,Người mặc áo hồng đội nón xám chạy xe số màu đen đi thẳng ra xa camera rồi rẽ phải.
e000078,motorcyclist,401,250,62,234,Người mặc áo trắng đội nón bảo hiểm đen chạy xe số màu đen đi từ xa về gần camera
e000019,truck,638,160,252,92,Xe tải đầu màu xanh dương thùng lửng đi từ phải sang trái qua ngã tư.
e000074,truck,35,25,347,340,Xe tải đầu màu trắng thùng kín đi thẳng ra xa camera.
e000053,motorcyclist,180,338,91,221,Người mặc áo xanh lá đội nón hồng chạy xe tay ga màu xanh đen đeo túi đi thẳng ra xa.
e000079,motorcyclist,298,265,46,213,Người mặc áo đen đội nón bảo hiểm đen chạy xe số màu đen đi từ xa về gần camera
e000006,truck,36,84,1440,754,Container đầu màu trắng thùng xe màu xanh mực đi thẳng ra xa camera rồi rẽ phải.
e000031,motorcyclist,302,296,84,284,Người mặc áo xanh  đội nón xanh  chạy xe số màu đen chở người đi thẳng về hướng camera.
e000002,motorcyclist,834,548,196,318,Người mặc áo xám đội nón xám chạy xe số màu đen đi thẳng ra xa camera rồi rẽ phải.
e000128,car,842,162,116,60,Xe con màu trắng đi từ trái sang phải qua ngã tư.
e000094,motorcyclist,396,328,117,325,Người mặc áo đen đội nón đen chạy xe số màu đen chở hàng đi thẳng lại gần camera.
e000009,motorcyclist,230,548,240,316,Người mặc áo xám đội nón xanh nước biển chạy xe số màu đen đi thẳng ra xa camera qua ngã tư.
video5_e000126,motorcyclist,418,296,137,178,Người mặc áo trắng đội nón đen chạy xe tay ga màu đen đi thẳng ra xa camera rồi dừng chờ đèn đỏ.
e000020,truck,572,94,478,132,Xe tải đầu màu trắng thùng xe phủ bạt đen đi từ trái sang phải qua ngã tư.
e000008,car,1008,142,146,48,Xe con màu trắng đi từ phải sang trái qua ngã tư.
e000062,motorcyclist,307,200,51,156,Người mặc áo xám đội nón trắng chạy xe số màu đỏ đi thẳng ra xa camera.
e000062,motorcyclist,229,216,63,157,Người mặc áo be đội nón xanh mực chạy xe tay ga màu trắng đi thẳng ra xa camera.
e000050,truck,0,52,331,372,Xe tải đầu màu đỏ thùng xe phủ bạt đen đi thẳng ra xa.
e000157,motorcyclist,286,238,65,176,Người mặc áo xám đội nón trắng chạy xe tay ga màu bạc đeo túi đi thẳng ra xa.
e000002,car,1118,162,156,54,Xe con màu trắng đi từ trái sang phải qua ngã tư.
e000050,car,118,220,223,253,Xe con màu xám đi thẳng ra xa.
19_video10_norm_e011,motorcyclist,460,417,237,258,Người mặc áo vàng đội nón bảo hiểm xám chạy tay ga màu trắng Đi thẳng ra xa camera rồi dừng chờ đèn đỏ.
e000006,motorcyclist,572,252,154,180,Người mặc áo xanh đội nón đen chạy xe số màu đen đi thẳng ra xa camera qua ngã tư.
e000006,motorcyclist,202,269,49,209,Người mặc áo trắng đội nón bảo hiểm trắng chạy xe điện màu đen đi từ xa về gần camera chở 1 người
video2_e000075,motorcyclist,202,330,161,209,Người mặc áo xám đội nón đỏ chạy xe máy màu đen đi thẳng ra xa camera rồi dừng chờ đèn đỏ.
e000064,car,61,204,170,142,Xe con màu đỏ đi thẳng ra xa.
e000004,motorcyclist,432,392,140,226,Người mặc áo đen đội nón trắng chạy xe số màu đỏ đi thẳng ra xa camera qua ngã tư.
e000012,car,90,205,170,156,Xe con màu trắng đi thẳng ra xa.
19_video1_norm_e006,motorcyclist,860,406,173,245,Người mặc áo xanh đội nón bảo hiểm trắng chạy xe số màu đỏ chở 1 người Đi thẳng ra xa camera rồi rẽ phải.
e000055,motorcyclist,293,309,59,286,Người mặc áo hồng đội nón xanh chạy xe tay ga màu đen trắng đi thẳng về hướng camera.
e000098,car,93,198,178,156,Xe con màu trắng đi thẳng ra xa camera.
video10_e000028,motorcyclist,1016,192,44,94,Người mặc áo trắng đội nón trắng chạy xe máy màu đen đi thẳng ra xa camera rồi rẽ phải.
19_video6_norm_e013,motorcyclist,944,310,146,218,Người mặc áo xanh lá đội nón bảo hiểm trắng chạy tay ga màu trắng chở 1 người Đi thẳng ra xa camera rồi rẽ phải.
e000062,motorcyclist,306,388,102,328,Người mặc áo trắng đội nón đỏ chạy xe tay ga màu xám chở 1 người đi thẳng lại gần camera.
e000014,truck,1242,124,146,70,Xe tải đầu màu xanh dương thùng xe màu bạc đi từ phải sang trái qua ngã tư.
e000166,motorcyclist,1026,262,142,144,Người mặc áo xám đội nón xám chạy xe tay ga màu đen đi thẳng ra xa camera qua ngã tư.
e000033,car,178,224,170,189,Xe con màu đỏ đi thẳng ra xa camera.
e000075,motorcyclist,278,285,72,277,Người mặc áo đen đội nón đen chạy xe tay ga màu đỏ chở người đi thẳng về hướng camera.
video11_e000034,truck,682,54,222,80,Container đầu màu đỏ thùng cam Đi từ phải sang trái qua ngã tư.
e000011,motorcyclist,299,250,39,202,Người mặc áo xanh đội nón bảo hiểm vàng chạy xe số màu đen đi từ xa về gần camera chở hàng
19_video7_norm_e003,truck,773,57,340,120,xe tải đầu màu trắng thùng bạt đen đi từ phải sang trái qua ngã tư.
e000038,motorcyclist,104,278,55,209,Người mặc áo xanh đội nón bảo hiểm đen chạy xe tay ga màu trắng đi từ xa về gần camera đi thẳng rồi rẽ trái
e000105,truck,123,38,241,218,Xe tải đầu màu trắng thùng xe phủ bạt đen đi thẳng ra xa camera.
e000071,car,223,165,162,178,Xe con màu nâu đi thẳng ra xa camera.
e000032,car,1162,140,124,74,Xe con màu đen đi từ phải sang trái qua ngã tư.
e000167,motorcyclist,536,236,94,130,Người mặc áo hồng đội nón đen chạy xe tay ga màu trắng đi thẳng ra xa camera rồi dừng chờ đèn đỏ.
video4_e000105,car,140,270,416,276,Xe ô tô màu trắng đi thẳng ra xa camera rồi dừng chờ đèn đỏ.
e000104,motorcyclist,157,382,100,224,Người mặc áo xám đội nón hồng chạy xe số màu đen chở theo 1 người đi thẳng ra xa camera.
e000008,car,255,149,80,90,Xe con màu trắng đi từ xa về gần camera
e000011,motorcyclist,229,345,148,324,Người mặc áo trắng đội nón đỏ chạy xe tay ga 'chở hàng đi thẳng lại gần camera.
e000002,truck,122,34,1176,850,Xe tải đầu màu trắng thùng xe phủ bạt đen Đi thẳng ra xa camera rồi rẽ phải.
e000002,motorcyclist,696,520,218,334,Người mặc áo đen đội nón đen chạy xe số màu đen đi thẳng ra xa camera rồi rẽ phải.
e000002,truck,680,128,228,96,Xe tải đầu màu trắng thùng xe phủ bạt đen đi từ phải sang trái qua ngã tư.
e000057,car,95,209,164,160,Xe con màu xám đi thẳng ra xa.
e000010,motorcyclist,412,316,83,352,Người mặc áo xanh   đội nón xám chạy xe tay ga màu đen đi thẳng về hướng camera.
video12_e000061,motorcyclist,702,250,101,152,Người mặc áo xanh lá đội nón xanh lá chạy xe máy màu đen đi thẳng ra xa camera rồi rẽ phải.
e000192,car,141,192,147,136,Xe con màu xanh đen đi thẳng ra xa.
e000012,motorcyclist,276,480,200,300,Người mặc áo đen đội nón xanh chạy xe số màu đen đi thẳng ra xa camera qua ngã tư.
e000106,car,1256,142,124,64,Xe khách màu trắng đi từ phải sang trái qua ngã tư.
e000008,motorcyclist,762,500,230,332,Người mặc áo xanh đội nón trắng chạy xe số màu đen đi thẳng ra xa camera rồi rẽ phải.
e000054,car,261,189,140,205,Xe con màu đỏ đi thẳng về hướng camera.
video4_e000108,car,320,282,417,260,Xe ô tô màu xám đi thẳng ra xa camera rồi rẽ phải.
19_video10_norm_e011,motorcyclist,280,318,104,174,Người mặc áo trắng đội nón bảo hiểm trắng chạy xe điện màu đen chở 1 người Đi thẳng ra xa camera rồi dừng chờ đèn đỏ.
e000133,motorcyclist,259,214,37,161,Người mặc áo xanh đội nón bảo hiểm đen chạy xe tay ga màu đỏ đi từ xa về gần camera
e000001,motorcyclist,1002,180,78,112,Người mặc áo trắng đội nón trắng chạy xe số màu đen đi thẳng ra xa camera qua ngã tư.
e000154,motorcyclist,702,528,292,338,Người mặc áo trắng đội nón vàng chạy xe số màu đen đi thẳng ra xa camera rồi rẽ phải.
e000134,car,346,226,199,244,Xe con màu trắng đi thẳng về hướng camera.
e000003,car,1064,154,116,32,Xe con màu trắng đi từ phải sang trái qua ngã tư.
e000009,motorcyclist,744,566,202,310,Người mặc áo đen đội nón đỏ chạy xe tay ga màu trắng đi thẳng ra xa camera rồi rẽ phải.
e000006,truck,148,0,1144,1036,Container đầu màu xanh thùng kín Đi thẳng ra xa camera rồi rẽ phải.
e000003,car,55,197,194,193,Xe con màu trắng đi thẳng ra xa.
19_video1_norm_e010,motorcyclist,557,301,132,198,Người mặc áo đen đội nón bảo hiểm đen chạy tay ga màu đỏ Đi thẳng ra xa camera rồi dừng chờ đèn đỏ.
e000083,motorcyclist,243,326,66,284,Người mặc áo vàng đội nón xanh da trời chạy xe tay ga màu trắng đi thẳng về hướng camera.
e000152,motorcyclist,642,564,264,434,Người mặc áo xanh không đội nón chạy xe đạp màu đen đi thẳng ra xa camera rồi rẽ phải.
e000061,motorcyclist,273,189,34,193,Người mặc áo trắng đội nón bảo hiểm đen chạy xe số màu xanh đi từ xa về gần camera
e000033,motorcyclist,282,252,42,198,Người mặc áo trắng đội nón bảo hiểm xanh chạy xe số màu đỏ đi từ xa về gần camera
e000102,motorcyclist,1076,372,222,300,Người mặc áo xám đội nón đỏ chạy xe số màu đỏ đi thẳng ra xa camera rồi rẽ phải.
video7_e000151,motorcyclist,174,324,146,194,Người mặc áo xanh lá đội nón xanh lá chạy xe tay ga màu đen đi thẳng ra xa camera rồi dừng chờ đèn đỏ.
e000005,truck,770,100,140,138,Xe rác đầu màu trắng thùng kín đi từ trên xuống và đi thẳng qua ngã tư.
e000010,car,227,170,157,238,Xe con màu trắng đi thẳng lại gần camera.
e000003,truck,1168,108,136,78,Xe tải đầu màu xanh thùng xe phủ bạt đen đi từ trên xuống và rẽ phải qua ngã tư.
e000005,truck,1446,150,238,160,Xe tải đầu màu trắng thùng xe màu bạc đi thẳng ra xa camera rồi rẽ phải.
e000150,motorcyclist,698,550,208,350,Người mặc áo trắng đội nón xanh chạy xe số màu đen đi thẳng ra xa camera rồi rẽ phải.
e000008,truck,900,120,210,90,Xe tải đầu màu trắng thùng xe màu bạc đi từ phải sang trái qua ngã tư.
e000006,motorcyclist,584,522,250,332,Người mặc áo trắng đội nón trắng chạy xe tay ga màu trắng đi thẳng ra xa camera rồi rẽ phải.
e000089,motorcyclist,229,340,74,313,Người mặc áo xanh đội nón trắng chạy xe số màu trắng đi thẳng lại gần camera.
e000123,truck,896,114,202,84,Xe cẩu đầu màu xanh có cẩu đỏ Đi từ trái sang phải qua ngã tư.
e000020,truck,221,13,407,596,Container đầu màu trắng thùng xe màu trắng đi thẳng lại gần camera.
e000010,motorcyclist,674,546,242,324,Người mặc áo nâu đội nón xám chạy xe số màu đen đi thẳng ra xa camera rồi rẽ phải.
e000004,truck,90,0,1172,1028,Container đầu màu trắng thùng kín Đi thẳng ra xa camera rồi rẽ phải.
e000004,motorcyclist,976,462,190,308,Người mặc áo đen đội nón xanh chạy xe số màu đỏ đi thẳng ra xa camera rồi rẽ phải.
e000077,motorcyclist,196,252,46,241,Người mặc áo đen đội nón bảo hiểm đen chạy xe số màu đen đi từ xa về gần camera
e000085,motorcyclist,870,172,104,78,Người mặc áo trắng đội nón đen chạy xe tay ga màu đỏ đi từ trái sang phải qua ngã tư.
e000117,motorcyclist,854,464,220,380,Người mặc áo đen đội nón đỏ chạy xe số màu đen đi thẳng ra xa camera rồi rẽ phải.
e000158,truck,104,100,205,221,Xe tải đầu màu trắng thùng kín đi thẳng ra xa.
e000067,motorcyclist,209,356,94,229,Người mặc áo trắng đội nón trắng chạy xe tay ga màu trắng đi thẳng ra xa camera.
e000079,car,56,232,224,265,Xe con màu đen đi thẳng ra xa camera.
e000069,motorcyclist,261,414,106,305,Người mặc áo hồng đội nón đen chạy xe tay ga màu đỏ đô chở hàng đi thẳng về hướng camera.
e000035,motorcyclist,280,333,67,306,Người mặc áo trắng đội nón đen chạy xe tay ga màu trắng đi thẳng về hướng camera.
e000217,motorcyclist,323,274,59,284,Người mặc áo xanh dương đội nón đen chạy xe tay ga màu trắng đi thẳng lại gần camera.
19_video11_norm_e007,motorcyclist,478,366,152,241,Người mặc áo đen đội nón bảo hiểm đen chạy tay ga màu đen Đi thẳng ra xa camera rồi dừng chờ đèn đỏ.
e000014,motorcyclist,361,214,58,208,Người mặc áo vàng đội nón đen chạy xe số màu đỏ đen chở người đi thẳng về hướng camera.
e000096,motorcyclist,1058,206,138,174,Người mặc áo xám đội nón trắng chạy xe số màu đen đi thẳng ra xa camera rồi dừng chờ đèn đỏ.
e000026,motorcyclist,650,212,72,138,Người mặc áo đen đội nón trắng chạy xe số màu đen đi thẳng ra xa camera rồi dừng chờ đèn đỏ.
e000016,motorcyclist,440,361,93,358,Người mặc áo xanh  đội nón xanh  sọc trắng chạy xe tay ga màu đen đi thẳng về hướng camera.
e000146,motorcyclist,856,492,236,338,Người mặc áo đỏ đội nón xám chạy xe số màu đen đi thẳng ra xa camera rồi rẽ phải.
e000011,motorcyclist,584,630,254,338,Người mặc áo xanh mực đội nón đen chạy xe số màu đỏ mận chở theo 1 người đi thẳng ra xa camera rồi rẽ phải.
e000045,motorcyclist,303,338,79,234,Người mặc áo xanh lơ đội nón trắng chạy xe số màu đen đi thẳng ra xa camera.
e000044,car,351,117,65,72,Xe con màu xanh lơ đi thẳng ra xa camera.
19_video4_norm_e006,car,624,164,161,48,xe con màu đỏ đi từ trái sang phải qua ngã tư.
e000079,motorcyclist,222,226,39,181,Người mặc áo trắng đội nón bảo hiểm trắng chạy xe tay ga màu đen đi từ xa về gần camera
e000045,car,301,29,290,345,Xe khách màu trắng đi thẳng lại gần camera.
e000003,car,996,164,154,56,Xe con màu đen đi từ trái sang phải qua ngã tư.
e000093,motorcyclist,922,414,254,294,Người mặc áo đen đội nón xám chạy xe số màu đen đi thẳng ra xa camera rồi rẽ phải.
19_video6_norm_e009,motorcyclist,884,365,177,222,Người mặc áo xanh đội nón bảo hiểm đỏ chạy tay ga màu bạc Đi thẳng ra xa camera rồi rẽ phải.
e000088,motorcyclist,104,318,86,192,Người mặc áo xám đội nón đen chạy xe số màu xanh da trời đeo balo đi thẳng ra xa camera.
e000011,motorcyclist,365,314,59,288,Người mặc áo xanh   đội nón cam chạy xe số màu đen trắng đi thẳng về hướng camera.
e000015,motorcyclist,367,330,82,316,Người mặc áo đen đội nón đỏ chạy xe tay ga màu đen chở 1 người đi thẳng lại gần camera.
e000005,car,166,360,414,250,Xe con màu trắng đi thẳng ra xa camera qua ngã tư.
e000063,motorcyclist,152,253,71,180,Người mặc áo xám không đội nón chạy xe số màu xanh ngọc đi thẳng ra xa camera.
19_video7_norm_e001,truck,750,64,482,113,xe tải đầu màu trắng thùng container đi từ phải sang trái qua ngã tư.
e000007,motorcyclist,362,338,78,318,Người mặc áo trắng đội nón đen chạy xe số màu đen đi thẳng lại gần camera.
19_video4_norm_e009,truck,905,85,224,88,xe tải đầu màu trắng thùng kín đi từ phải sang trái qua ngã tư.
e000004,car,1062,144,106,50,Xe con màu đen đi từ phải sang trái qua ngã tư.
e000058,motorcyclist,207,166,49,166,Người mặc áo đỏ đội nón bảo hiểm xám chạy xe số màu đỏ đi từ xa về gần camera chở 1 người
e000026,truck,1006,80,474,158,Container đầu màu trắng thùng xe màu xanh Đi từ trái sang phải qua ngã tư.
e000232,truck,255,8,321,349,Container đầu màu đen đi thẳng về hướng camera.
e000052,motorcyclist,367,322,68,278,Người mặc áo xám đội nón đen chạy xe tay ga màu đen đi thẳng về hướng camera.
video5_e000122,car,173,325,457,285,Xe ô tô màu xám đi thẳng ra xa camera rồi rẽ phải.
e000137,motorcyclist,856,518,256,302,Người mặc áo nâu đội nón xanh chạy xe số màu đỏ đi thẳng ra xa camera rồi rẽ phải.
e000003,truck,70,0,1280,978,Container đầu màu trắng thùng kín Đi thẳng ra xa camera rồi rẽ phải.
e000204,motorcyclist,291,325,73,320,Người mặc áo xanh dương đội nón xám chạy xe tay ga màu xám đi thẳng lại gần camera.
e000009,car,374,165,143,178,Xe con màu đen đi thẳng lại gần camera.
19_video6_norm_e005,car,478,420,473,212,xe con màu bạc đi thẳng ra xa camera rồi rẽ phải.
e000011,car,387,148,148,218,Xe con màu xanh đi thẳng lại gần camera.
e000136,car,1092,144,114,72,Xe con màu trắng đi từ phải sang trái qua ngã tư.
e000008,motorcyclist,680,644,238,326,Người mặc áo đen đội nón đen chạy xe số màu đen đi thẳng ra xa camera rồi rẽ phải.
e000026,motorcyclist,453,326,82,320,Người mặc áo đen đội nón đỏ chạy xe số màu đỏ đi thẳng về hướng camera.
19_video4_norm_e013,motorcyclist,1017,182,64,121,Người mặc áo đen đội nón bảo hiểm đen chạy xe số màu đen Đi thẳng ra xa camera rồi dừng chờ đèn đỏ.
e000062,car,364,280,192,281,Xe con màu trắng đi thẳng lại gần camera.
e000003,truck,1456,124,230,208,Xe tải đầu màu trắng thùng xe phủ bạt xanh đi thẳng ra xa camera rồi rẽ phải.
e000154,car,105,144,189,169,Xe 16 chỗ màu bạc đi thẳng ra xa.
19_video14_norm_e012,car,250,354,337,141,taxi màu xanh đi thẳng ra xa camera rồi rẽ trái.
e000063,car,62,193,192,198,Xe con màu trắng đi thẳng ra xa camera.
e000161,motorcyclist,280,406,70,269,Người mặc áo đỏ không đội nón chạy xe đạp màu xám đi thẳng ra xa.
e000080,motorcyclist,382,341,74,326,Người mặc áo trắng đội nón đen chạy xe tay ga màu trắng đi thẳng lại gần camera.
e000028,truck,790,90,614,466,Xe tải đầu màu xám thùng xe màu đen Đi thẳng ra xa camera rồi rẽ phải.
e000004,motorcyclist,240,244,50,198,Người mặc áo xám đen đội nón bảo hiểm đen chạy xe số màu đen đi từ xa về gần camera
e000007,car,486,476,516,324,Xe con màu trắng đi thẳng ra xa camera rồi rẽ phải.
e000159,motorcyclist,942,426,252,414,Người mặc áo trắng đội nón đỏ chạy xe số màu đen đi thẳng ra xa camera rồi rẽ phải.
e000007,motorcyclist,530,648,248,348,Người mặc áo trắng đội nón xanh lơ chạy xe số màu đen đi thẳng ra xa camera rồi rẽ phải.
video3_e000082,car,806,93,84,41,Xe ô tô màu trắng đi từ phải sang trái qua ngã tư.
e000006,truck,128,48,1090,998,Đầu kéo đầu màu trắng thùng sàn phẳng Đi thẳng ra xa camera rồi rẽ phải.
video10_e000028,motorcyclist,485,185,73,92,Người mặc áo trắng đội nón đen chạy xe máy màu đen đi thẳng ra xa camera rồi dừng chờ đèn đỏ.
e000053,motorcyclist,180,293,72,210,Người mặc áo cam đội nón cam chạy xe số màu đen chở hàng đi thẳng ra xa.
e000007,motorcyclist,323,349,61,229,Người mặc áo trắng đội nón trắng chạy xe tay ga màu đen đi thẳng ra xa.
e000159,motorcyclist,371,237,53,240,Người mặc áo đen đội nón đen chạy xe tay ga màu trắng đen đi thẳng lại gần camera.
video5_e000120,motorcyclist,341,269,114,169,Người mặc áo trắng đội nón đen chạy xe máy màu đen đi thẳng ra xa camera qua ngã tư.
